"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Eva Joly","Aucune","Est","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Est","Moins de 2000 habitants","Homme","65 ans et plus","agriculteurs exploitants","agriculteurs exploitants","Certificat d'études primaires","Catholique","Au moins une fois par semaine"
"Abstention","France 2","Sud Ouest","Moins de 2000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","TF1","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","France 2","Sud  Est","Moins de 2000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","Jamais"
"Jean-Luc Mélenchon","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Autre religion","Jamais"
"François Hollande","France 2","Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Ouest","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","TF1","Sud Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Ouest","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Ouest","Plus de 100 000 habitants","Homme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Juive","Au moins une fois par semaine"
"François Bayrou","France 2","Nord","Moins de 2000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","BFM TV","Est","Moins de 2000 habitants","Homme","35 à 49 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Canal +","Ouest","2 000 à 20 000 habitants","Femme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","France 2","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 2","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","ouvriers","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","France 2","Nord","Moins de 2000 habitants","Femme","65 ans et plus","agriculteurs exploitants","agriculteurs exploitants","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","France 2","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Est","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Jean-Luc Mélenchon","France 2","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Sans diplôme","Sans religion","NA"
"Nicolas Sarkozy","Aucune","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","agriculteurs exploitants","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC général","Sans religion","NA"
"François Hollande","TF1","Nord","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","TF1","Centre","20 000 à 100 000 habitants","Homme","50 à 64 ans","retraités / autres inactifs","retraités / autres inactifs","Certificat d'études primaires","Sans religion","NA"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","BFM TV","Paris","Agglomération parisienne","Femme","65 ans et plus","professions libérales et cadres","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","TF1","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","BFM TV","Sud Ouest","Moins de 2000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","BFM TV","Centre","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","CAP/BEP","Catholique","Jamais"
"NA","Aucune","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Sans opinion"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Musulmane","Jamais"
"François Hollande","France 3","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Eva Joly","France 3","Paris","Agglomération parisienne","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Jean-Luc Mélenchon","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"Marine Le Pen","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Au moins une fois par semaine"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Autre","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Au moins une fois par semaine"
"François Bayrou","France 2","Paris","Agglomération parisienne","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Femme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","Canal +","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"NA","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","CAP/BEP","Sans religion","NA"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Autre religion","Jamais"
"Abstention","France 2","Nord","2 000 à 20 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BEPC","Catholique","Une ou deux fois par mois"
"François Hollande","M6","Paris","Agglomération parisienne","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Musulmane","Une ou deux fois par mois"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Musulmane","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Sud Ouest","Plus de 100 000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Abstention","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","M6","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","25 à 34 ans","retraités / autres inactifs","artisans, commercants et chef d entreprises","BAC technique","Musulmane","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Homme","50 à 64 ans","retraités / autres inactifs","retraités / autres inactifs","BAC technique","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Ouest","20 000 à 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","25 à 34 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","65 ans et plus","ouvriers","ouvriers","Sans diplôme","Sans opinion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC+2 / niveau BAC+2","Musulmane","Jamais"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","M6","Paris","Agglomération parisienne","Femme","18 à 24 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","Aucune","Ouest","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","ouvriers","employés et personnels de services","BAC+2 / niveau BAC+2","Autre religion","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Sud  Est","2 000 à 20 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Protestante","Une ou deux fois par mois"
"Jean-Luc Mélenchon","France 3","Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","BAC général","Sans religion","NA"
"François Hollande","Autre","Paris","Agglomération parisienne","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Musulmane","Au moins une fois par semaine"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Homme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Autre religion","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Protestante","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","ouvriers","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Musulmane","De temps en temps, aux grandes fêtes"
"Abstention","France 3","Est","Plus de 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Sans diplôme","Sans religion","NA"
"François Hollande","France 2","Sud Ouest","2 000 à 20 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Sans religion","NA"
"Abstention","Aucune","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","Aucune","Ouest","2 000 à 20 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Homme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","I-télé","Paris","Agglomération parisienne","Femme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","BAC général","Catholique","Jamais"
"Jean-Luc Mélenchon","France 2","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Jamais"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","65 ans et plus","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Sans religion","NA"
"François Hollande","France 2","Sud Ouest","2 000 à 20 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Protestante","Au moins une fois par semaine"
"Abstention","TF1","Ouest","Plus de 100 000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","65 ans et plus","agriculteurs exploitants","agriculteurs exploitants","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","Au moins une fois par semaine"
"Jean-Luc Mélenchon","BFM TV","Paris","Agglomération parisienne","Homme","25 à 34 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nathalie Arthaud","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"François Bayrou","Aucune","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Sud Ouest","20 000 à 100 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","I-télé","Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","France 2","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","Aucune","Sud Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","BAC technique","Catholique","Au moins une fois par semaine"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Autre religion","Uniquement pour les cérémonies, mariages"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","TF1","Ouest","Moins de 2000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","M6","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","TF1","Sud  Est","Moins de 2000 habitants","Femme","18 à 24 ans","ouvriers","employés et personnels de services","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","Aucune","Nord","Plus de 100 000 habitants","Femme","18 à 24 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","Au moins une fois par semaine"
"Jean-Luc Mélenchon","I-télé","Sud  Est","Plus de 100 000 habitants","Femme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","BAC général","Sans religion","NA"
"Abstention","Canal +","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","professions libérales et cadres","professions libérales et cadres","Sans diplôme","Sans religion","NA"
"Abstention","TF1","Sud  Est","20 000 à 100 000 habitants","Femme","18 à 24 ans","employés et personnels de services","retraités / autres inactifs","BAC+2 / niveau BAC+2","Sans religion","NA"
"Marine Le Pen","France 2","Sud  Est","20 000 à 100 000 habitants","Femme","18 à 24 ans","ouvriers","employés et personnels de services","CAP/BEP","Sans religion","NA"
"François Hollande","TF1","Ouest","Moins de 2000 habitants","Homme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","BAC+2 / niveau BAC+2","Sans religion","NA"
"NA","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Musulmane","Au moins une fois par semaine"
"Marine Le Pen","TF1","Ouest","20 000 à 100 000 habitants","Femme","18 à 24 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","BFM TV","Sud Ouest","Plus de 100 000 habitants","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Eva Joly","TF1","Est","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Marine Le Pen","TF1","Est","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Marine Le Pen","TF1","Sud  Est","Moins de 2000 habitants","Femme","25 à 34 ans","ouvriers","retraités / autres inactifs","BAC technique","Sans religion","NA"
"Abstention","TF1","Nord","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","TF1","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"NA","TF1","Sud  Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","Aucune","Nord","Moins de 2000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","Une ou deux fois par mois"
"Marine Le Pen","TF1","Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"François Bayrou","Aucune","Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Une ou deux fois par mois"
"François Hollande","Aucune","Est","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","artisans, commercants et chef d entreprises","Sans diplôme","Sans religion","NA"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Nord","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","retraités / autres inactifs","CAP/BEP","Sans religion","NA"
"François Hollande","BFM TV","Nord","2 000 à 20 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Marine Le Pen","TF1","Sud Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","BFM TV","Sud Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC général","Sans religion","NA"
"François Hollande","Aucune","Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Sud  Est","Moins de 2000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
